Period,AE_Attend_Type1,AE_Attend_Type2,AE_Attend_Type3,AE_Total_Attend,AE_Admission_Type1 ,AE_Admission_Type2,AE_Admission_Type3,AE_Admission_Total,Other_Emergency_Admissions,Total Emergency Admissions,4to12hrs_Admission,More12hrAdmission
Aug-17," 1,256,655 "," 47,912 "," 620,096 "," 1,924,663 "," 356,405 "," 1,176 "," 3,404 "," 360,985 "," 125,089 "," 486,074 "," 37,164 ", 50 
Sep-17," 1,263,957 "," 47,250 "," 614,754 "," 1,925,961 "," 356,160 "," 1,177 "," 3,661 "," 360,998 "," 125,801 "," 486,799 "," 42,157 ", 77 
Oct-17," 1,325,211 "," 50,198 "," 668,728 "," 2,044,137 "," 373,673 "," 1,204 "," 3,934 "," 378,811 "," 134,406 "," 513,217 "," 45,500 ", 57 
Nov-17," 1,281,913 "," 48,223 "," 646,835 "," 1,976,971 "," 372,551 "," 1,243 "," 3,876 "," 377,670 "," 135,349 "," 513,019 "," 48,623 ", 107 
Dec-17," 1,289,587 "," 42,158 "," 672,209 "," 2,003,954 "," 387,919 "," 1,150 "," 4,467 "," 393,536 "," 127,267 "," 520,803 "," 69,086 ", 517 
Jan-18," 1,257,026 "," 49,987 "," 693,073 "," 2,000,086 "," 383,879 "," 1,214 "," 4,634 "," 389,727 "," 136,318 "," 526,045 "," 81,231 "," 1,054 "
Feb-18," 1,151,757 "," 41,902 "," 626,353 "," 1,820,012 "," 347,470 "," 1,087 "," 4,145 "," 352,702 "," 124,165 "," 476,867 "," 68,712 ", 369 
Mar-18," 1,299,796 "," 46,655 "," 703,334 "," 2,049,785 "," 385,196 "," 1,283 "," 4,523 "," 391,002 "," 135,064 "," 526,066 "," 76,233 ", 853 
Apr-18," 1,246,348 "," 47,256 "," 690,765 "," 1,984,369 "," 370,142 "," 1,418 "," 4,290 "," 375,850 "," 127,543 "," 503,393 "," 48,004 ", 356 
May-18," 1,354,711 "," 49,219 "," 760,528 "," 2,164,458 "," 392,433 "," 1,508 "," 4,762 "," 398,703 "," 134,754 "," 533,457 "," 39,236 ", 106 
Jun-18," 1,306,739 "," 49,635 "," 737,568 "," 2,093,942 "," 376,782 "," 1,646 "," 4,506 "," 382,934 "," 130,320 "," 513,254 "," 33,750 ", 99 
